Italian,English
male,bad
madre,mother
avete,you have
tanto,much
favore,favor
successo,success
vai,Go
sulla,on the
giusto,Right
miei,my
aspetta,Wait
avere,have
altra,other
farlo,to do it
alle,to
facendo,doing
abbia,have
momento,moment
ero,I was
aveva,I had
ragazzi,Boys
deve,needs to
persone,people
nostro,our
tipo,guy
prego,Please
grande,great
può,can
senti,feel
appena,as soon as
potrebbe,could be
soldi,money
dice,He says
sapere,know
tre,Three
oggi,Today
questi,these
piace,pleases
idea,idea
siete,you are
ai,to the
avevo,I had
figlio,son
accordo,agreement
gente,people
sicuro,Safe
vieni,You come
degli,of the
guarda,Look
dentro,inside
trovato,found
queste,these
caso,case
forza,Force
tutte,all
pensi,think
signora,Lady
faccio,I do
nome,first name
avuto,had
problema,problem
altri,others
puo,can
aver,have
mondo,world
tutta,all
preso,taken
nulla,Nothing
nostra,our
donna,woman
stare,to stay
basta,Enough
insieme,Together
faccia,face
ragazza,lass
subito,right away
famiglia,family
ragazzo,lad
volevo,I wanted
okay,okay
sentito,sense
stesso,same
ragione,reason
sarà,will be
tuoi,your
capito,Understood
notte,Night
volte,times
testa,head
serve,serve
tesoro,treasure
sotto,under
suoi,his
vado,I go
sara,will be
dato,given
stiamo,we are
bella,Pretty
scusa,Excuse me
erano,they were
pensavo,I thought
avrei,I would have
prendere,take
buona,Good
porta,brings
bello,Handsome
moglie,wife
vorrei,I would like
storia,history
succede,happens
morto,died
cercando,looking for
dici,you say
persona,person
pronto,ready
meno,less
dovuto,due
avanti,after you
capisco,I understand
secondo,second
venire,come
polizia,police
lì,there
avrebbe,it would have
stanno,they are
mentre,While
letto,Bed
fino,until
dico,I say
amici,friends
fine,end
aiuto,help
paura,fear
fratello,Brother
stavo,I was
uomini,men
domani,Tomorrow
facciamo,we do
abbastanza,Enough
capo,boss
amore,Love
nei,in the
ucciso,killed
state,state
piano,floor
macchina,machine
trovare,find
comunque,Anyway
vediamo,We see
giorni,days
nemmeno,neither
mano,hand
presto,Soon
stati,States
merda,shit
bambino,child
andato,left
vedo,I see
tornare,return
quelle,those
cio,that is
primo,first
vostro,your
neanche,not even
sera,evening
giro,tour
morte,death
qua,here
pensato,thought
buon,Good
anno,year
mie,my
diavolo,devil
quasi,Almost
piacere,Pleasure
bel,nice
dovrei,I should
nessun,no
contro,against
stessa,same
felice,happy
colpa,guilt
punto,point
andata,outward
dovrebbe,should
vedi,you see
quale,Which
chiesto,asked
invece,Instead
perchè,Why
migliore,improve
nostri,our
finito,finished
figlia,Daughter
dovresti,you should
papa,Pope
almeno,at least
sento,I feel
quei,those
col,with the
ore,hours
passato,past
magari,Perhaps
minuti,minutes
terra,Earth
vostra,your
strada,street
sola,lonely
credi,believe
importante,important
sue,his
salve,Greetings
settimana,week
perso,lost
uscire,go out
parlato,spoke
papà,Pope
stasera,this evening
scusi,Excuse me
dollari,dollars
occhi,eyes
mani,hands
ultima,last
possibile,possible
scuola,school
significa,it means
sapevo,I knew
nelle,in
potrei,I could
stava,was
bambini,children
eri,you was
importa,it matters
indietro,backwards
riesco,I am able to
sangue,blood
chiama,who loves
messo,put in order
piccolo,small
traduzione,translation
tardi,late
cuore,Heart
marito,Husband
viene,he comes
venuto,coming
ieri,Yesterday
spero,I hope
ricordi,memories
quelli,those
dovremmo,we should
lasciato,left
ascolta,Listen
difficile,difficult
quell',that'
auto,car
chiamato,called
ciò,that is
altre,other
parlando,speaking
pensare,think
fantastico,Fantastic
fatta,made
numero,number
veramene,Truly
fanno,they do
com',as
serio,serious
possa,can
fossi,dive
entrare,enter
anch',too
qualsiasi,any
pensa,thinks
dicendo,saying
acqua,waterfall
portato,carried
stanza,room
problemi,problems
forte,strong
nessuna,none
lascia,	leaves
amo,I love
roba,stuff
agente,agent
dietro,behind
corpo,body
pare,it seems
sentire,feel
foto,photo
telefono,telephone
voleva,he wanted
poco,little
prendi,you take
piccola,small
vicino,Neighbor
quest',this
sacco,sack
stia,stia
capire,understand
potuto,could
cinque,five
strano,strange
tue,your
andando,going
donne,women
sappiamo,we know
bravo,good boy
ragazze,girls
festa,party
senso,sense
genere,type
quattro,four
dare,give
attimo,moment
sorella,sister
pure,mashed potato
probabilmente,probably
film,movie
parla,speaks
ufficio,office
verso,towards
mesi,months
farti,make you
unica,unique
morire,die
signorina,Miss
vecchio,old
domanda,request
ben,well
guerra,war
dottore,doctor
conosco,I know
qual,that
vivere,live
vista,view
prova,trial
nuova,new
ricordo,I remember
divertente,fun
avessi,had
sicura,safe
paio,pair
conto,I count
perdere,LOSE
dimmi,Tell me
farmi,make me
figli,children
mezzo,half
lavorare,work
unico,unique
esattamente,Exactly
squadra,squad
esatto,Exactly
possono,can
fate,you do
faro,lighthouse
sapete,you know
dottor,Doctor
parola,word
piedi,feet
sopra,above
motivo,reason
avevi,you had
cavolo,cabbage
capitano,captain
finita,finite
volete,you want
siano,they are
potresti,you could
gioco,game
perfetto,Perfect
be,be
mente,mind
mangiare,eat
resto,rest
credere,believe
fortuna,fortune
tratta,deals with
chiamo,call
morta,dead
là,there
entrambi,both
avresti,you would have
passare,pass
cena,dinner
the,tea
sarei,I would be
controllo,check
affari,business
spiace,unpleasant
ultimo,last
facile,easy
farò,lighthouse
buongiorno,Good morning
davanti,in front of
tizio,guy
dammi,give me
sicurezza,safety
dalle,give her
quanti,how many
dica,say
matrimonio,marriage
john,John
vogliono,they want
molti,many
culo,ass
fuoco,fire
cercare,look for
pistola,pistol
potremmo,we could
re,king
mandato,mandate
puttana,whore
negli,in
cioe,Meaning what
inizio,start
saranno,they will be
causa,cause
voglia,wants
mettere,put
fammi,do for me
uccidere,kill
vogliamo,we want
faremo,we will do
però,However
genitori,parents
sesso,sex
potete,you can
ricevuto,received
vivo,I live
presidente,president
città,city
succedendo,succeeding
ospedale,hospital
fu,was
agli,to
scritto,written
smettila,stop that
vada,go
attenzione,Attention
sulle,on
bere,drinking
situazione,situation
omicidio,homocide
revisione,revision
avesse,had
ottimo,Optimal
cura,treatment
durante,during
provato,tried
parole,words
lasciare,leave
dicono,they say
prossima,next
nostre,our
arrivato,arrived
paese,village
sull',on
andate,go
chiunque,whoever
capisci,you understand
pace,peace
immagino,I imagine
musica,music
tieni,keep
oddio,hate
jack,jack
libro,book
eravamo,we were
amica,friend
diventare,become
sui,on
sbagliato,wrong
dirmi,tell me
farai,you will do
entra,enter
venuta,coming
scelta,choice
voluto,wanted
portare,bring
assolutamente,absolutely
molte,many
chiedo,I ask
torna,back
scoperto,discovery
fatti,facts
settimane,weeks
aspettare,wait
alcuni,some
prigione,prison
giornata,day
avvocato,lawyer
chiamare,call
luce,light
giovane,young
lontano,distant
bambina,girl
onore,honor
verità,truth
idiota,idiot
